,statecode,bc_hundred,bc_ten,bc_twentyfive,blockcode,hundred_fifty,providername,ten,twentyfive_three,type
2,16,0,130330,0,133794,0.0,14,568007.0,0.0,mobile
0,8,111687,198553,126978,200188,167209.0,122,431658.0,207620.0,business
1,8,21352,199863,131639,201062,22226.0,92,716237.0,248483.0,consumer
2,8,0,192518,0,196787,0.0,14,940942.0,0.0,mobile
0,45,3448,172909,19846,181908,3594.0,65,199301.0,20624.0,business
1,45,8693,181908,116003,181908,8871.0,49,560627.0,170410.0,consumer
2,45,0,181806,0,181827,0.0,6,967992.0,0.0,mobile
0,25,22602,146630,25090,149004,25759.0,64,175687.0,29144.0,business
1,25,39161,148677,110888,148774,39165.0,32,458295.0,163854.0,consumer
2,25,0,157393,0,157416,0.0,4,897046.0,0.0,mobile
0,38,8315,129624,31993,132207,8335.0,52,170075.0,36655.0,business
1,38,47222,131801,99476,132206,47691.0,43,262974.0,110873.0,consumer
2,38,0,133032,0,133547,0.0,10,434004.0,0.0,mobile
0,53,162924,192737,164677,195465,172746.0,113,422092.0,226607.0,business
1,53,17191,195458,131023,195574,17309.0,88,788789.0,258142.0,consumer
2,53,0,187149,0,188973,0.0,6,974552.0,0.0,mobile
0,41,30215,192658,49983,196401,34959.0,107,276861.0,60519.0,business
1,41,14397,196391,93053,196621,14536.0,85,571909.0,163602.0,consumer
2,41,0,172204,0,177574,0.0,9,808692.0,0.0,mobile
0,56,7772,84517,19642,84938,7819.0,53,118138.0,22808.0,business
1,56,3326,84681,26018,86204,3373.0,45,167204.0,35006.0,consumer
2,56,0,79062,0,82388,0.0,12,213754.0,0.0,mobile
0,55,31415,235114,57728,253096,35095.0,134,326525.0,78986.0,business
1,55,11279,253096,146165,253096,11289.0,113,781389.0,193569.0,consumer
2,55,0,251577,0,252269,0.0,8,1214946.0,0.0,mobile
0,20,42388,232201,71873,237988,46187.0,133,333807.0,91732.0,business
1,20,34001,236585,128803,238600,35612.0,122,559620.0,191244.0,consumer
2,20,0,238503,0,238590,0.0,12,1261476.0,0.0,mobile
0,1,6833,236751,15556,252266,6972.0,97,256687.0,16502.0,business
1,1,9587,252266,138555,252266,9599.0,68,807934.0,195089.0,consumer
2,1,0,251805,0,252032,0.0,7,1233806.0,0.0,mobile
0,23,2431,61957,6030,68711,2544.0,48,72562.0,6318.0,business
1,23,327,68709,40421,69311,327.0,38,184621.0,45248.0,consumer
2,23,0,62164,0,63444,0.0,5,236694.0,0.0,mobile
0,49,51994,114768,62687,114876,70424.0,64,230832.0,94063.0,business
1,49,22034,114796,66975,114883,26215.0,49,304447.0,150181.0,consumer
2,49,0,110742,0,113042,0.0,12,496544.0,0.0,mobile
0,72,60946,68441,63054,76636,123309.0,11,180833.0,136898.0,business
1,72,1482,55126,55126,75103,1482.0,6,64672.0,64672.0,consumer
2,72,0,76714,0,76829,0.0,6,551963.0,0.0,mobile
0,54,6336,126517,20088,135218,6350.0,52,148866.0,22744.0,business
1,54,156,135218,50663,135218,163.0,41,412339.0,54366.0,consumer
2,54,0,124303,0,126336,0.0,6,455979.0,0.0,mobile
0,33,4753,44996,9157,48695,5195.0,36,55261.0,9937.0,business
1,33,4470,48695,30441,48837,4471.0,22,141719.0,36193.0,consumer
2,33,0,46838,0,47003,0.0,6,236290.0,0.0,mobile
0,51,30726,266746,72324,285760,32603.0,107,355877.0,83786.0,business
1,51,39665,285760,126469,285762,39813.0,70,758816.0,166148.0,consumer
2,51,0,279331,0,281258,0.0,7,1388095.0,0.0,mobile
0,47,19621,235326,29279,240116,20155.0,102,286510.0,33364.0,business
1,47,27042,240116,149087,240116,27437.0,81,771730.0,208484.0,consumer
2,47,0,236057,0,237126,0.0,10,1214114.0,0.0,mobile
0,24,5937,137198,41138,145245,6695.0,74,190078.0,53106.0,business
1,24,36895,145245,88989,145247,36896.0,39,448095.0,136854.0,consumer
2,24,0,144630,0,144861,0.0,5,802292.0,0.0,mobile
